epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,1376.98,0.35581,0.31448,0.83622,0.99647,1,0.995,0.96144,0.31714,0.22812,0.78224,0.000892,0.000892,0.000892
140,1386.1,0.34457,0.31111,0.84344,0.9963,1,0.995,0.96139,0.31284,0.22358,0.78218,0.000826,0.000826,0.000826
141,1395.72,0.2839,0.23779,0.79022,0.99486,1,0.995,0.95692,0.31517,0.22325,0.78136,0.00076,0.00076,0.00076
142,1404.82,0.2821,0.2449,0.78885,0.99556,1,0.995,0.95642,0.31919,0.22732,0.78196,0.000694,0.000694,0.000694
143,1414.04,0.27827,0.24227,0.78704,0.99612,1,0.995,0.958,0.31158,0.2305,0.78091,0.000628,0.000628,0.000628
144,1423.05,0.27857,0.23835,0.78616,0.99659,1,0.995,0.95514,0.31624,0.22467,0.78255,0.000562,0.000562,0.000562
145,1431.91,0.27786,0.23987,0.79907,0.99661,1,0.995,0.95644,0.31291,0.21919,0.78245,0.000496,0.000496,0.000496
146,1440.79,0.27832,0.23631,0.79232,0.99619,1,0.995,0.95671,0.30831,0.21741,0.78041,0.00043,0.00043,0.00043
147,1449.66,0.26838,0.23328,0.78545,0.99606,1,0.995,0.95795,0.31704,0.21906,0.78146,0.000364,0.000364,0.000364
148,1458.73,0.27036,0.22736,0.78085,0.99598,1,0.995,0.95703,0.30992,0.21785,0.78154,0.000298,0.000298,0.000298
149,1468.24,0.26662,0.23046,0.79216,0.99631,1,0.995,0.9619,0.30938,0.21405,0.78222,0.000232,0.000232,0.000232
150,1478.2,0.26704,0.23295,0.78394,0.99639,1,0.995,0.95856,0.3096,0.21396,0.78168,0.000166,0.000166,0.000166
